76833	10.885806	1.599123	1
20231	6.605369	0.255056	3
49358	2.611038	0.686072	1
46322	8.422938	0.286667	3
35158	8.422360	0.025236	3
79074	13.366205	0.472860	1
43003	9.045054	1.071657	3
67745	7.721291	0.737174	1
40755	10.775311	1.654527	3
38092	8.135314	0.686724	3
53451	13.895887	0.117172	3
25357	2.714295	1.640884	2
32109	2.972903	1.587998	1
33639	9.238344	0.500244	3
10077	0.000000	0.775141	2
14165	2.485450	1.622479	2
29023	8.354721	1.146259	3
42673	6.967005	0.790495	3
52527	4.978405	0.927068	1
66056	8.398264	0.295042	1
17925	3.344437	0.924007	2
27135	4.410263	1.253194	1
13220	3.565002	1.215545	2
44485	3.725676	0.045385	1
70150	11.586413	1.250718	1
20267	1.018701	0.526158	2
16466	0.000000	0.107779	2
29376	16.749512	1.032505	3
50240	0.014623	1.349052	1
7804	1.053972	0.366436	2
48007	6.739996	1.060068	3
73950	10.012340	1.141399	1
7954	0.000000	0.006249	2
42848	10.816652	0.962708	3
47422	9.616325	1.042260	3
14910	1.995163	0.042409	2
39851	0.710655	0.729328	1
74300	10.172003	1.650977	1
28118	9.448572	1.439631	3
16332	1.145494	0.483974	2
81536	15.044897	0.512755	1
34872	9.889763	0.570112	3
26284	3.344988	1.191838	1
43512	12.503976	1.615586	3
16466	10.587954	1.271096	3
35476	12.255493	1.566175	3
14488	1.890132	1.594975	2
17584	0.000000	0.023185	2
27454	7.576168	0.724349	3
37008	8.465111	0.256974	3
37688	2.553974	0.676207	1
12248	2.554644	0.824575	2
50228	0.037589	1.464817	1
53784	2.084339	0.672055	1
26275	13.729432	0.663505	3
11241	0.000000	1.136499	2
36259	6.747316	1.386376	3
59130	13.284126	0.319209	1
38730	12.341310	0.496878	3
8134	0.898359	0.625022	2
74799	13.105848	1.478502	1
13271	3.247054	0.995600	2
73771	19.290397	1.597941	1
44755	9.897234	0.857545	3
32627	5.105292	0.719224	1
45588	3.277795	0.579584	1
14109	3.493629	0.445732	2
30936	11.843484	0.634425	3
6335	5.844269	1.016810	2
39843	10.143482	0.794332	3
37601	10.780644	0.079276	3
20556	7.677036	1.372207	3
15095	1.089960	0.978680	2
4730	1.970184	1.662920	2
59930	0.571206	1.422882	1
36937	1.271020	1.025139	1
59918	4.067666	0.288447	1
41035	8.039054	0.236651	3
31135	0.491560	1.080508	1
9847	1.854740	1.086216	2
254	2.722810	1.101168	2
11372	6.741728	0.140245	2
45235	1.658661	0.246442	1
71253	6.863625	0.294459	1
67116	0.000000	0.815210	1
33926	13.795695	1.567306	3
18500	2.976231	0.983649	2
10340	5.686776	1.311985	2
5015	6.783143	1.419051	2
21027	8.409731	1.521482	3
50569	10.264618	0.668460	3
31357	3.814549	0.144900	1
77324	15.117497	1.410546	1
72782	10.916025	0.630672	1
42052	2.493231	0.215007	1
16283	9.774322	0.630122	2
50491	4.552822	0.834218	1
35602	10.928381	0.694452	3
23121	9.713875	1.698347	3
43198	9.517129	0.118208	3
47613	10.676060	1.328073	3
58543	9.104358	1.349345	1
27252	9.542360	0.524345	3
18757	0.802544	0.992469	2
9426	0.000000	0.117679	2
65130	3.488199	0.413284	1
13445	4.396035	0.851208	2
55224	2.948583	0.168513	1
41889	4.183268	0.081027	1
62320	3.236842	0.550130	1
2309	5.387754	0.890108	2
10627	5.211859	0.995044	2
68786	12.149434	0.755869	1
74326	9.877534	0.479528	1
0	2.942949	1.342638	2
7497	5.071525	1.600760	2
41215	9.858681	0.135875	3
55146	3.202573	0.172762	1
4487	5.573899	0.896398	2
25262	11.784137	1.663006	3
24848	9.655543	0.663456	3
29088	13.111939	1.669172	3
14430	4.179418	1.447900	2
69898	12.487863	1.552600	1
25638	10.986892	1.373306	3
37940	12.619642	0.018621	3
37594	4.715534	0.984156	3
39067	3.594956	0.635016	1
49063	0.657741	0.005388	1
39967	3.394764	1.555012	1
32855	7.837911	0.420052	3
30292	4.109206	0.646329	1
37919	1.914122	0.039899	1
62048	6.908269	0.927658	1
35105	10.892247	0.381780	3
1149	6.590812	0.341815	2
5493	1.208569	1.276735	2
